Aircraft,Company,Photo,Origin,Type,Versions,In Service,Airport,Manned,BVR kill chain,Associated products,country
Dassault nEUROn,Dassault Aviation,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/RF_stealth_%28or_low_observable%29_and_counter-RF_stealth_technologies_implications_of_counter-RF_stealth_solutions_for_Turkish_Air_Force_%28IA_rfstealthorlowob109454876%29.pdf/page1-1280px-thumbnail.pdf.jpg,France,Experimental UCAV,nEUROn,0,Istres-Le Tubé Air Base,No,"Stealth UCAV demonstrator for contested airspace penetration; successor unveiled June 2025, paired with Rafale F5; full-scale development for hybrid manned-unmanned BVR ops by 2040. F2T2EA: Stealth Find internal; Tracks Rafale; Targets suppression; Engage autonomous; Assess demonstrator.","Rafale F4, SPECTRA EW suite, M88 engine",fra
F-35 Lightning II,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Italian_Air_Force_32-09_F-35A_ILA-2022.jpg/1280px-Italian_Air_Force_32-09_F-35A_ILA-2022.jpg,United States,Multirole Stealth Fighter,F-35A,32,Amendola Air Base,Yes,"5th-gen with AN/APG-81 AESA radar (200+ km detection), sensor fusion, and internal 4-6 AIM-120D/Meteor bays for stealthy BVR; DAS/EOTS and MADL/Link-16 enable cooperative kills with G550 cueing to 170 km envelope; 32 operational across 2 squadrons (e.g., 32nd Stormo at Amendola), with 43 more on order toward 75 total by 2030. F2T2EA: AN/APG-81 fusion Find; Tracks network; Targets AIM-120D/Meteor; Engage 5th gen; Assess sensor fusion.","AN/APG-81 AESA radar, AIM-120D AMRAAM, Meteor long-range BVR missile, G550 CAEW",ita
Leonardo M-346 Master,Leonardo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/EGVA_-_Leonardo_T-346A_Master_-_Italian_Air_Force_-_MM55220_61-16_%2830169738728%29.jpg/1280px-EGVA_-_Leonardo_T-346A_Master_-_Italian_Air_Force_-_MM55220_61-16_%2830169738728%29.jpg,Italy,Advanced Jet Trainer / Conversion Trainer for Fighters,T-346A,21,Galatina Air Base (Lecce),Yes,"Advanced lead-in fighter trainer with embedded tactical simulation, fly-by-wire, and light armament (2-4 AIM-9/Meteor-compatible pylons) for BVR tactics rehearsal; MMIRCA upgrades (2025) add datalink for F-35/Typhoon conversion; 21 operational at Lecce AB (RSV 32° Stormo), critical for NATO interoperability training with G550 cueing to 140 km simulated envelopes. F2T2EA: Simulation Find/Fix; Tracks datalink; Targets BVR rehearsal; Engage tactics; Assess conversion.","Embedded tactical simulation, fly-by-wire, Meteor long-range BVR missile",ita
Eurofighter Typhoon,Eurofighter,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/B-52s_integrate_with_Italian_forces_in_exercise_SPARTAN_MACE_%288918400%29.jpg/1280px-B-52s_integrate_with_Italian_forces_in_exercise_SPARTAN_MACE_%288918400%29.jpg,Italy,Multirole Fighter,"F-2000A, TF-2000A",93,"Multiple: Grosseto, Gioia del Colle, Istrana, Trapani",Yes,"Tranche 2/3 backbone with CAPTOR-E AESA (250 km range), thrust-vectoring, and 6-8 Meteor missiles for high-Pk BVR; P2E/P3E upgrades (2025 IOC) add AI and drone integration; two-seat trainers with identical radar for BVR mission rehearsal; 79 combat-coded fighters +14 trainers across 6 squadrons (e.g., 4° Stormo at Grosseto), core for 170 km engagements via G550. F2T2EA: Captor-E Find/Fix for Typhoon; Tracks Meteor; Targets EW/ESM; Engage BVR; Assess Italian assembly.","CAPTOR-E AESA radar, Meteor long-range BVR missile, EJ200 engine",ita
Panavia Tornado,Panavia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Panavia_Tornado_IDS%2C_Italy_-_Air_Force_JP6706853.jpg/1280px-Panavia_Tornado_IDS%2C_Italy_-_Air_Force_JP6706853.jpg,Italy,Multirole Strike Fighter / Electronic Warfare,"IDS, ECR",40,Gioia del Colle Air Base,Yes,"Upgraded with TERMA PESA radar (150 km) and 4-6 Meteor/AIM-120C-5 for BVR strikes; mid-life extensions to 2030 add datalink; ECR SEAD with ALQ-184 jammers to suppress radars, enabling BVR """"permission to shoot""""; 2025 upgrades add Meteor self-defense; 27 IDS +13 ECR active (e.g., 102°/156° Gruppo at Gioia del Colle), provides SEAD support for Typhoon/F-35 salvos to 140 km. F2T2EA: TERMA PESA Find/Fix; Tracks jammers; Targets Meteor/AIM-120C-5; Engage SEAD/BVR; Assess extensions.","TERMA PESA radar, Meteor long-range BVR missile, ALQ-184 jammers",ita
Gulfstream G550,Gulfstream,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/APROC_2018-4.jpg/1280px-APROC_2018-4.jpg,United States,Airborne Early Warning & Control,E-550A (G550 JAMMS),2,Pratica di Mare Air Base,Yes,"CAEW with EL/I-3001 AESA radar (400 km horizon) for off-board targeting and mid-course Meteor updates; +2 ordered Sep 2024 (IOC 2026); 14° Stormo at Pratica di Mare, critical enabler for 170 km networked BVR. F2T2EA: EL/I-3001 Find/Fix horizon; Tracks off-board; Targets Meteor updates; Engage directed; Assess CAEW.","EL/I-3001 AESA radar, Link-16, Meteor long-range BVR missile",ita
Boeing KC-767,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Italian_Airforce_KC-767-A_leaving_Eindhoven_%2833084100184%29.jpg/1280px-Italian_Airforce_KC-767-A_leaving_Eindhoven_%2833084100184%29.jpg,United States,Aerial Refueling Tanker,KC-767A,4,Pratica di Mare Air Base,Yes,"MRTT with boom/probe refueling for 3+ hour BVR extensions on F-35/Typhoon; +6 on order (delivery 2026+); 14° Stormo at Pratica di Mare, sustains long-range patrols with NATO allies. F2T2EA: Refueling extends Track/Engage; Sustains patrols; Targets long-range; Assess boom/probe.","Boom/probe refueling, F-35 Lightning II, Eurofighter Typhoon",ita
Typhoon Captor-E AESA Radar,Leonardo,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Italy,Airborne AESA Fire Control Radar,Captor-E,0,Multiple (Typhoon bases),Yes,"Mechanically scanned AESA radar upgrade for Eurofighter Typhoon, providing 250 km detection range and multi-target tracking; full integration on Italian Tranche 3 fleet by 2025, enhancing BVR capabilities with Meteor compatibility. F2T2EA: Captor-E Find/Fix for Typhoon; Tracks Meteor; Targets EW/ESM; Engage BVR; Assess Italian assembly.","Meteor long-range BVR missile, EJ200 engine, Eurofighter Typhoon",ita
MICA-NG,MBDA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,France,Medium-Range Air-to-Air Missile,MICA-NG,0,,Yes,"Upgraded dual-mode (IR/RF) BVR missile with 80 km range and active/passive homing; NG variant IOC 2025 for Rafale/Typhoon integration, improving no-escape zone against agile targets. F2T2EA: Medium Engage dual seeker; Tracks Rafale/Typhoon; Targets versatile; Assess NG upgrades.","Rafale F4, RBE2-AA AESA radar, SPECTRA EW suite",ita
Meteor Long-Range BVR Missile,MBDA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,United Kingdom,Long-Range Air-to-Air Missile,Meteor,0,,Yes,"Ramjet-powered BVR missile with 200+ km range and active radar seeker; full Italian integration on Typhoon/F-35 by 2025, enabling high-Pk shots in contested airspace. F2T2EA: Ramjet Engage no-escape; Post-Track by Captor-E; Targets Eurofighter/Rafale; Assess active seeker.","Eurofighter Typhoon Captor-E AESA radar, Rafale F4, RBE2-AA AESA radar",ita
